☐︎	☐️	0x2610	BALLOT BOX
𝔄︎	𝔄️	0x1d504	MATHEMATICAL FRAKTUR CAPITAL A
𝔞︎	𝔞️	0x1d51e	MATHEMATICAL FRAKTUR SMALL A
𝕬︎	𝕬️	0x1d56c	MATHEMATICAL BOLD FRAKTUR CAPITAL A
𝖆︎	𝖆️	0x1d586	MATHEMATICAL BOLD FRAKTUR SMALL A
𝔸︎	𝔸️	0x1d538	MATHEMATICAL DOUBLE-STRUCK CAPITAL A
𝕒︎	𝕒️	0x1d552	MATHEMATICAL DOUBLE-STRUCK SMALL A
𝖠︎	𝖠️	0x1d5a0	MATHEMATICAL SANS-SERIF CAPITAL A
𝖺︎	𝖺️	0x1d5ba	MATHEMATICAL SANS-SERIF SMALL A
𝗔︎	𝗔️	0x1d5d4	MATHEMATICAL SANS-SERIF BOLD CAPITAL A
𝗮︎	𝗮️	0x1d5ee	MATHEMATICAL SANS-SERIF BOLD SMALL A
𝘈︎	𝘈️	0x1d608	MATHEMATICAL SANS-SERIF ITALIC CAPITAL A
𝘢︎	𝘢️	0x1d622	MATHEMATICAL SANS-SERIF ITALIC SMALL A
𝘼︎	𝘼️	0x1d63c	MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A
𝙖︎	𝙖️	0x1d656	MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL A
𝙰︎	𝙰️	0x1d670	MATHEMATICAL MONOSPACE CAPITAL A
𝚊︎	𝚊️	0x1d68a	MATHEMATICAL MONOSPACE SMALL A
----	----	----
𝟎︎	𝟎️	0x1d7ce	MATHEMATICAL BOLD DIGIT ZERO
𝟘︎	𝟘️	0x1d7d8	MATHEMATICAL DOUBLE-STRUCK DIGIT ZERO
𝟢︎	𝟢️	0x1d7e2	MATHEMATICAL SANS-SERIF DIGIT ZERO
𝟬︎	𝟬️	0x1d7ec	MATHEMATICAL SANS-SERIF BOLD DIGIT ZERO
𝟶︎	𝟶️	0x1d7f6	MATHEMATICAL MONOSPACE DIGIT ZERO
⁰︎	⁰️	0x2070	SUPERSCRIPT ZERO
¹︎	¹️	0xb9	SUPERSCRIPT ONE
²︎	²️	0xb2	SUPERSCRIPT TWO
³︎	³️	0xb3	SUPERSCRIPT THREE
⁴︎	⁴️	0x2074	SUPERSCRIPT FOUR
⁵︎	⁵️	0x2075	SUPERSCRIPT FIVE
⁶︎	⁶️	0x2076	SUPERSCRIPT SIX
⁷︎	⁷️	0x2077	SUPERSCRIPT SEVEN
⁸︎	⁸️	0x2078	SUPERSCRIPT EIGHT
⁹︎	⁹️	0x2079	SUPERSCRIPT NINE
₀︎	₀️	0x2080	SUBSCRIPT ZERO
₁︎	₁️	0x2081	SUBSCRIPT ONE
₂︎	₂️	0x2082	SUBSCRIPT TWO
₃︎	₃️	0x2083	SUBSCRIPT THREE
₄︎	₄️	0x2084	SUBSCRIPT FOUR
₅︎	₅️	0x2085	SUBSCRIPT FIVE
₆︎	₆️	0x2086	SUBSCRIPT SIX
₇︎	₇️	0x2087	SUBSCRIPT SEVEN
₈︎	₈️	0x2088	SUBSCRIPT EIGHT
₉︎	₉️	0x2089	SUBSCRIPT NINE
----	----	----
½︎	½️	0xbd	VULGAR FRACTION ONE HALF
⅓︎	⅓️	0x2153	VULGAR FRACTION ONE THIRD
⅔︎	⅔️	0x2154	VULGAR FRACTION TWO THIRDS
¼︎	¼️	0xbc	VULGAR FRACTION ONE QUARTER
¾︎	¾️	0xbe	VULGAR FRACTION THREE QUARTERS
⅕︎	⅕️	0x2155	VULGAR FRACTION ONE FIFTH
⅟︎	⅟️	0x215f	FRACTION NUMERATOR ONE
⁄︎	⁄️	0x2044	FRACTION SLASH
----	----	----
㍾︎	㍾️	0x337e	SQUARE ERA NAME MEIZI
㍽︎	㍽️	0x337d	SQUARE ERA NAME TAISYOU
㍼︎	㍼️	0x337c	SQUARE ERA NAME SYOUWA
㍻︎	㍻️	0x337b	SQUARE ERA NAME HEISEI
----	----	----
⇒︎	⇒️	0x21d2	RIGHTWARDS DOUBLE ARROW
➔︎	➔️	0x2794	HEAVY WIDE-HEADED RIGHTWARDS ARROW
➜︎	➜️	0x279c	HEAVY ROUND-TIPPED RIGHTWARDS ARROW
↔︎	↔️	0x2194	LEFT RIGHT ARROW
︎︎	︎️	0xfe0e	VARIATION SELECTOR-15
↘︎	↘️	0x2198	SOUTH EAST ARROW
↗︎	↗️	0x2197	NORTH EAST ARROW
⇄︎	⇄️	0x21c4	RIGHTWARDS ARROW OVER LEFTWARDS ARROW
↺︎	↺️	0x21ba	ANTICLOCKWISE OPEN CIRCLE ARROW
↻︎	↻️	0x21bb	CLOCKWISE OPEN CIRCLE ARROW
----	----	----
----	----	----
